ref,value,footprint,x_mm,y_mm,rotation,side
C201,22u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,23.347,52.0,0.0,front
C202,8n2,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,51.5,95.0,0.0,front
C203,22u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,35.347,52.0,0.0,front
C204,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,60.5,95.0,0.0,front
C205,22u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,46.347,52.0,0.0,front
C206,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,69.5,95.0,0.0,front
C207,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,22.5,102.0,0.0,front
C208,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,32.5,102.0,0.0,front
C209,22u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,57.347,52.0,0.0,front
C210,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,42.5,102.0,0.0,front
C211,4700u/50V,Capacitor_THT:CP_Radial_D18.0mm_P7.50mm,26.522,21.0,0.0,front
C212,C_Polarized,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,69.347,52.0,0.0,front
C401,470u/25V,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,109.347,70.0,0.0,front
C402,22u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,86.347,82.0,0.0,front
C403,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,86.5,100.0,0.0,front
C404,47u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,97.347,82.0,0.0,front
C405,1u,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,96.5,100.0,0.0,front
C501,22u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,149.347,70.0,0.0,front
C502,100n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,146.5,99.0,0.0,front
C503,47u,Capacitor_THT:CP_Radial_D8.0mm_P3.50mm,130.347,82.0,0.0,front
CV601,10n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,166.5,12.0,0.0,front
CV602,10n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,176.5,12.0,0.0,front
CV603,10n,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,165.5,17.0,0.0,front
D201,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,44.19,121.0,0.0,front
D202,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,61.19,121.0,0.0,front
D203,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,20.92,82.0,0.0,front
D204,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,35.92,82.0,0.0,front
D205,1N4006,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,50.92,82.0,0.0,front
D206,1N4006,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,65.92,82.0,0.0,front
D207,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,20.92,88.0,0.0,front
D208,1N4006,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,35.92,88.0,0.0,front
D209,1N4006,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,50.92,88.0,0.0,front
D210,1N4006,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,65.92,88.0,0.0,front
D211,1N4006,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,21.92,95.0,0.0,front
D212,1N5817,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,36.92,95.0,0.0,front
D401,1N5822,Diode_THT:D_DO-201AD_P15.24mm_Horizontal,86.38,93.0,0.0,front
D402,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,88.19,112.0,0.0,front
D403,1N4148,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,104.19,112.0,0.0,front
D501,1N5819,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,141.92,92.0,0.0,front
D502,1N4007,Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal,128.92,99.0,0.0,front
DV601,BZX55C3V0,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,177.19,43.0,0.0,front
DV602,BZX55C3V0,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,165.19,48.0,0.0,front
DV603,BZX55C3V0,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,177.19,48.0,0.0,front
J_15V101,+15V gate supply,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,190.46,12.0,0.0,front
J_3PH101,3-phase in,TerminalBlock:TerminalBlock_bornier-3_P5.08mm,4.92,24.0,0.0,front
J_5V101,+5V supply,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,190.46,28.0,0.0,front
J_ARD101,Arduino Nano,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,194.0,97.65,0.0,front
J_C2K101,C2000 LaunchPad,Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical,194.0,50.38,0.0,front
J_INA101,PV INA219,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,118.0,2.65,0.0,front
J_LOAD101,pulsing load,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,135.46,124.0,0.0,front
J_MOT101,DC motor,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,7.46,92.0,0.0,front
J_PV101,PV panel,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,93.46,8.0,0.0,front
J_STO101,1F store,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,137.46,8.0,0.0,front
L201,Spole terminal,TerminalBlock:TerminalBlock_bornier-2_P5.08mm,38.46,64.0,0.0,front
L401,150u,energy_system:L_Toroid_Vertical_L34.5mm_W15.0mm_P28.20mm_LaserPads,87.9,44.0,0.0,front
L501,470u,energy_system:L_Toroid_Vertical_L34.5mm_W15.0mm_P28.20mm_LaserPads,127.9,44.0,0.0,front
M501,IRF530,energy_system:TO-220-3_Vertical_LaserPads_GDS,128.46,92.95,0.0,front
Q201,IRF540N,energy_system:TO-220-3_Vertical_LaserPads,38.46,74.95,0.0,front
Q202,IRF530,energy_system:TO-220-3_Vertical_LaserPads_GDS,66.46,74.95,0.0,front
Q401,IRF530,energy_system:TO-220-3_Vertical_LaserPads_GDS,108.46,93.95,0.0,front
R201,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,53.19,102.0,0.0,front
R202,1k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,66.19,102.0,0.0,front
R203,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,21.19,108.0,0.0,front
